# Logfile created on 2026-03-31 18:27:38 +0200 by logger.rb/v1.5.3
2026-03-31 18:27:38 +0200: Memory Usage (445448K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/octowave.gds
2026-03-31 18:27:38 +0200: Memory Usage (445448K) : Ruby Version for klayout: 3.2.3
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : Loading database to memory is complete.
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/IHP__SoC7610/release/v.1.0.0/gds/drc_run_2026_03_31_16_27_33/octowave_octowave_topmetal1.lyrdb
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : Evaluate switches.
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : tables selected: topmetal1
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-31 18:27:42 +0200: Memory Usage (659964K) : deep mode is enabled.
2026-03-31 18:27:44 +0200: Memory Usage (685412K) : gatpoly_noqrc has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (753384K) : cont_drw has 11013776 polygons
2026-03-31 18:27:47 +0200: Memory Usage (753384K) : cont_opc has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (753384K) : nsd_drw has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (753384K) : nsd_block has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_drw has 833614 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_pin has 347782 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_mask has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_filler has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_nofill has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761892K) : metal1_slit has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_text has 338966 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_opc has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_noqrc has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_res has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_iprobe has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : metal1_diffprb has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : passiv_drw has 120 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : passiv_pin has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : passiv_sbump has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : passiv_pillar has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (767352K) : passiv_pdl has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_drw has 659685 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_pin has 2290 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_mask has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_filler has 1143 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_nofill has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_slit has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_text has 2158 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_opc has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_noqrc has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_res has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_iprobe has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : metal2_diffprb has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : baspoly_drw has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (785568K) : baspoly_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (785568K) : psd_drw has 190070 polygons
2026-03-31 18:27:52 +0200: Memory Usage (785568K) : nldb_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (785568K) : digibnd_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : via1_drw has 641588 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_mask has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_filler has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_nofill has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_slit has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_text has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_opc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_noqrc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_res has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_iprobe has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backmetal1_diffprb has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : backpassiv_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : res_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : sram_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : trans_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : ind_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : ind_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : ind_text has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (791640K) : salblock_drw has 1125 polygons
2026-03-31 18:27:52 +0200: Memory Usage (796128K) : via2_drw has 688861 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_drw has 331012 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_pin has 1918 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_mask has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_filler has 1636 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_nofill has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_slit has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_text has 1467 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_opc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_noqrc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_res has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_iprobe has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal3_diffprb has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : nwell_drw has 93113 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : nwell_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : nbulay_drw has 1974 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : nbulay_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : nbulay_block has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : emwind_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : emwind_opc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : deepco_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : deepco_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : mim_drw has 176 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : edgeseal_drw has 24 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : edgeseal_bound has 1 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : substrate_drw has 6577 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : substrate_text has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : dfpad_drw has 108 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : dfpad_pillar has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : dfpad_sbump has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : thickgateox_drw has 197 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : pldb_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : pwell_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : pwell_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : pwell_block has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : ic_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : via3_drw has 345358 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal4_drw has 74299 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal4_pin has 1805 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal4_mask has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (805368K) : metal4_filler has 21889 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_text has 1357 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_opc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_res has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : metal4_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : heattrans_drw has 9084 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : heatres_drw has 1042 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : pempoly_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : fbe_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : empoly_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : ldmos_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : pbiwind_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : digisub_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : nodrc_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805368K) : text_drw has 4679 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : via4_drw has 329885 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_drw has 33477 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_pin has 1746 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_mask has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_filler has 24498 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_text has 1298 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_opc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_res has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : metal5_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : radhard_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : memcap_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : varicap_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : flash_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : intbondvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : intbondmet_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : devbondvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : devbondmet_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : devtrench_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : redist_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphbot_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphtop_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : antvia1_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : antmetal2_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphcont_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : siwg_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : siwg_filler has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : siwg_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : sigrating_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : singrating_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphpas_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : emwind3_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : emwihv3_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : redbulay_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : smos_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphpad_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : polimide_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : polimide_pin has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_pin has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_esd has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_diode has 537 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_tsv has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_pillar has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_sbump has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_otp has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_pdiode has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_mom has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : recog_pcm has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : colopen_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmetal1_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmetal1_filler has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmetal1_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmetal1_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmetal1_opc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmet1l_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmet1l_filler has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmet1l_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmet1l_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : graphmet1l_opc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : extblock_drw has 475 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : nldd_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : pldd_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : next_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (806748K) : pext_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : nexthv_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : pexthv_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : graphgate_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : sinwg_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : sinwg_filler has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : sinwg_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807012K) : mempad_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807540K) : topvia1_drw has 266080 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807804K) : topmetal1_drw has 7868 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808068K) : topmetal1_pin has 1915 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808068K) : topmetal1_mask has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808068K) : topmetal1_filler has 5304 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_text has 1417 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_res has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808332K) : topmetal1_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808596K) : topmetal1_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808596K) : inldpwl_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808596K) : polyres_drw has 1042 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808596K) : polyres_pin has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808860K) : vmim_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808860K) : nbulaycut_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (808860K) : antmetal1_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809124K) : topvia2_drw has 175194 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809124K) : topmetal2_drw has 2219 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809388K) : topmetal2_pin has 1489 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809388K) : topmetal2_mask has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809388K) : topmetal2_filler has 5280 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809652K) : topmetal2_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809652K) : topmetal2_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809652K) : topmetal2_text has 1457 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809652K) : topmetal2_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809652K) : topmetal2_res has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809916K) : topmetal2_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809916K) : topmetal2_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809916K) : snsring_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (809916K) : sensor_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810180K) : snsarms_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810180K) : snscmosvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810180K) : colwind_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810180K) : flm_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810180K) : hafniumox_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810444K) : memvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810444K) : thinfilmres_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810444K) : rfmem_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810444K) : norcx_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810444K) : norcx_m2m3 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810708K) : norcx_m2m4 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810708K) : norcx_m2m5 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810708K) : norcx_m2tm1 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810708K) : norcx_m2tm2 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810708K) : norcx_m3m4 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m3m5 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m3tm1 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m3tm2 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m4m5 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m4tm1 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m4tm2 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m5tm1 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m5tm2 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_tm1tm2 has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m1sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m2sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m3sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m4sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_m5sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_tm1sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : norcx_tm2sub has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : snsbotvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : snstopvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : deepvia_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : fgetch_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : ctrgat_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : fgimp_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : emwihv_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (810972K) : lbe_drw has 0 polygons
